title,body,labels,priority,Epic
Add dashboard layout framework,"Create the base layout for the dashboard, including header, sidebar, and main content area. Ensure responsive design and clean structure.",dashboard,P0,Dashboard UI
Add system overview card,"Create a top-level system overview card showing current power, daily energy, system status, and last update timestamp.",dashboard,P1,Dashboard UI
Add panel grid view,Implement a grid-based visualization of all solar panels using the row/column naming scheme. Include per-panel status and power output.,dashboard,P1,Dashboard UI
Add daily production chart,Add a chart showing today's production curve using aggregated data. Include tooltips and hover interactions.,dashboard,P1,Dashboard UI
Add historical energy charts,"Implement charts for daily, weekly, and monthly energy summaries. Use cached/aggregated data for fast loading.",dashboard,P2,Dashboard UI
Add system status indicators,"Display collector status, backup status, disk usage, and time sync health using color-coded indicators.",dashboard,P2,Dashboard UI
Add settings menu,"Create a settings menu with navigation to configuration editor, theme options, and system info.",dashboard,P3,Dashboard UI
Add dark mode toggle,Implement a dark/light mode toggle with persistent user preference storage.,dashboard,P3,Dashboard UI
Add mobile-responsive layout,Ensure the dashboard works cleanly on mobile devices with collapsible menus and adaptive charts.,dashboard,P2,Dashboard UI
Add error and offline states,"Design UI states for when the backend is unreachable, collector is offline, or data is missing.",dashboard,P1,Dashboard UI
Create systemd service for collector,Create a systemd service unit to run the collector automatically on boot. Ensure restart policies and logging are configured.,systemd,P0,Systemd Services
Create systemd service for backend API,Add a systemd service to run the FastAPI backend on boot with automatic restarts and proper logging.,systemd,P0,Systemd Services
Add systemd timer for nightly backups,Create a systemd timer and service pair to run nightly database backups. Ensure logs are captured and failures are reported.,systemd,P1,Systemd Services
Add systemd watchdog for collector,Enable systemd watchdog functionality to detect collector hangs or freezes. Configure heartbeat interval and restart behavior.,systemd,P1,Systemd Services
Add systemd watchdog for backend,Enable watchdog monitoring for the FastAPI backend to detect hangs and automatically restart the service.,systemd,P2,Systemd Services
Add journald log rotation rules,"Configure journald to rotate logs for collector, backend, and backup services to prevent disk overuse.",systemd,P2,Systemd Services
Add systemctl status endpoint integration,"Expose systemd service health (active, failed, restarting) through a backend API endpoint for dashboard display.",systemd,P2,Systemd Services
Add systemd environment file support,Create environment files for collector and backend services to allow configuration overrides without editing unit files.,systemd,P3,Systemd Services
Add systemd reload support for config changes,"Enable `systemctl reload` behavior for services that support hot‑reload, ensuring config updates apply without restart.",systemd,P3,Systemd Services
Add systemd service dependency graph,"Define proper `After=`, `Requires=`, and `Wants=` relationships so services start in the correct order and recover gracefully.",systemd,P1,Systemd Services
Add GitHub Actions workflow for backend tests,Create a GitHub Actions workflow to run backend unit tests on every push and pull request. Include Python version matrix and caching.,ci-cd,P0,CI/CD
Add GitHub Actions workflow for dashboard build,Set up a workflow to build the dashboard UI on every push. Ensure Node dependencies are cached and build artifacts are validated.,ci-cd,P1,CI/CD
Add linting workflow for Python and JavaScript,Add a CI workflow that runs flake8/black for Python and ESLint/prettier for JavaScript. Fail builds on lint errors.,ci-cd,P1,CI/CD
Add automated Docker image build,Create a workflow to build Docker images for backend and collector on tagged releases. Push images to GitHub Container Registry.,ci-cd,P2,CI/CD
Add automated deployment workflow,Set up a workflow that deploys the backend to the Raspberry Pi or remote server using SSH or rsync on release tags.,ci-cd,P2,CI/CD
Add database migration check,Add a CI step that verifies database schema migrations apply cleanly and do not break existing data.,ci-cd,P2,CI/CD
Add test coverage reporting,Integrate coverage.py and frontend coverage tools. Upload coverage reports to GitHub Actions summary.,ci-cd,P3,CI/CD
Add dependency vulnerability scanning,Enable Dependabot or GitHub Advanced Security to scan Python and Node dependencies for vulnerabilities.,ci-cd,P1,CI/CD
Add workflow to validate systemd unit files,Create a CI job that validates systemd unit files for syntax correctness and required fields.,ci-cd,P3,CI/CD
Add release notes automation,Automatically generate release notes from merged PRs using GitHub’s release automation tools.,ci-cd,P2,CI/CD
Add centralized configuration file,"Create a single configuration file (YAML or TOML) that defines all tunable system parameters including collector settings, backup paths, thresholds, and dashboard options.",config,P0,Configuration System
Add configuration loader module,"Implement a Python module to load, validate, and expose configuration values to the collector and backend. Include schema validation.",config,P1,Configuration System
Add hot‑reload support for configuration,Enable the backend to reload configuration without restarting the service. Provide an endpoint or signal‑based trigger.,config,P2,Configuration System
Add configuration editor UI,Add a dashboard page that allows editing configuration values with validation and save/apply controls.,config,P2,Configuration System
Add configuration versioning and rollback,Store configuration history and allow rollback to previous versions. Include timestamps and change summaries.,config,P3,Configuration System
Add per‑panel performance analytics,Implement analytics to compare each panel’s performance over time. Identify underperforming panels and calculate deviation from expected output.,analytics,P1,Analytics
